phase,card_id,repo_id,field,value_excerpt,judge_score,judge_reason,attr_confidence
M1: Structured Extraction,2,Qwen/Qwen3-VL-2B-Instruct,short_description,Meet Qwen3-VL — the most powerful vision-language model in the Qwen series to da,2,The augmented value is correct and directly supported by the source material in the README excerpt.,0.900
M1: Structured Extraction,2,Qwen/Qwen3-VL-2B-Instruct,full_description,Meet Qwen3-VL — the most powerful vision-language model in the Qwen series to da,2,The augmented value is correct and directly supported by the source material in the README excerpt.,0.900
M1: Structured Extraction,2,Qwen/Qwen3-VL-2B-Instruct,keywords,"transformers, qwen3_vl, image-text-to-text, conversational",2,The augmented value correctly lists keywords directly supported by the source material in the HuggingFace API metadata.,0.900
M1: Structured Extraction,2,Qwen/Qwen3-VL-2B-Instruct,author,Qwen,2,The model's identifier 'Qwen/Qwen3-VL-2B-Instruct' and the content in the README directly support that Qwen is the author/creator.,1.000
M1: Structured Extraction,2,Qwen/Qwen3-VL-2B-Instruct,citation,https://arxiv.org/abs/2505.09388,2,The arXiv URL 'https://arxiv.org/abs/2505.09388' is directly listed in the tags of the HuggingFace API metadata.,0.900
M1: Structured Extraction,2,Qwen/Qwen3-VL-2B-Instruct,input_type,Multimodal,2,"The model is described as handling both images and text, which directly supports the multimodal input type.",0.950
M1: Structured Extraction,2,Qwen/Qwen3-VL-2B-Instruct,output_data,generated text,1,"The augmented value 'generated text' is acceptable but imprecise as the source material describes more specific outputs like task completion, code generation, and spatial reasoning.",0.950
M1: Structured Extraction,2,Qwen/Qwen3-VL-2B-Instruct,category,natural language processing,0,"The field 'category' with the value 'natural language processing' is misleading as the model is a vision-language model, which is not solely focused on natural language processing.",0.950
M1: Structured Extraction,2,Qwen/Qwen3-VL-2B-Instruct,documentation,https://huggingface.co/Qwen/Qwen3-VL-2B-Instruct,2,"The augmented value correctly provides the direct URL to the model's documentation on HuggingFace, which is directly supported by the source material.",1.000
M1: Structured Extraction,2,Qwen/Qwen3-VL-2B-Instruct,is_private,False,2,The field is_private is correctly set to False as the model's 'private' attribute in the metadata is explicitly set to false.,1.000
M1: Structured Extraction,2,Qwen/Qwen3-VL-2B-Instruct,is_gated,False,2,"The model is not gated as it is publicly accessible and no approval is required, as indicated by the 'private' field being false in the metadata.",1.000
M1: Structured Extraction,2,Qwen/Qwen3-VL-2B-Instruct,ai_model_framework,pytorch,1,"The source material does not explicitly mention PyTorch, but it is a common framework for HuggingFace models, making the value acceptable but imprecise.",0.950
M1: Structured Extraction,2,Qwen/Qwen3-VL-2B-Instruct,ai_model_license,apache-2.0,2,The license identifier 'apache-2.0' is explicitly stated in both the HuggingFace API metadata and the README excerpt.,0.900
M1: Structured Extraction,2,Qwen/Qwen3-VL-2B-Instruct,ai_model_model_type,llm,2,"The model is described as a vision-language model with enhancements in text understanding and generation, which aligns with the characteristics of an LLM.",0.950
M1: Structured Extraction,2,Qwen/Qwen3-VL-2B-Instruct,ai_model_version,1.0,0,"The source material does not mention a model version string, making the augmented value misleading.",1.000
M1: Structured Extraction,2,Qwen/Qwen3-VL-2B-Instruct,ai_model_description,Meet Qwen3-VL — the most powerful vision-language model in the Qwen series to da,2,The augmented value is correct and directly supported by the source material in the README excerpt.,0.900
M1: Structured Extraction,2,Qwen/Qwen3-VL-2B-Instruct,ai_model_owner,Qwen,2,"The model ID 'Qwen/Qwen3-VL-2B-Instruct' directly indicates that the owner is Qwen, which is also mentioned in the README content.",1.000
M1: Structured Extraction,2,Qwen/Qwen3-VL-2B-Instruct,ai_model_location,https://huggingface.co/Qwen/Qwen3-VL-2B-Instruct,2,The augmented value is correct and directly supported by the model's HuggingFace identifier and standard URL format.,1.000
M1: Structured Extraction,3,google-bert/bert-base-uncased,name,bert-base-uncased,2,The augmented value 'bert-base-uncased' is correct and directly supported by the source material in both the HuggingFace API metadata and the README excerpt.,1.000
M1: Structured Extraction,3,google-bert/bert-base-uncased,version,1.0,0,"The source material does not mention a version field, making the augmented value misleading.",1.000
M1: Structured Extraction,3,google-bert/bert-base-uncased,short_description,BERT is a transformers model pretrained on a large corpus of English data in a s,2,The augmented value is correct and directly supported by the source material in the README excerpt.,0.900
M1: Structured Extraction,3,google-bert/bert-base-uncased,full_description,BERT is a transformers model pretrained on a large corpus of English data in a s,2,The augmented value is correct and directly supported by the source material in the README excerpt.,0.900
M1: Structured Extraction,3,google-bert/bert-base-uncased,keywords,"transformers, pytorch, tf, jax, rust, coreml, onnx, bert, fill-mask, exbert, en",2,The augmented value for 'keywords' is correct and directly supported by the source material in the HuggingFace API metadata under the 'tags' field.,0.900
M1: Structured Extraction,3,google-bert/bert-base-uncased,author,google-bert,2,"The 'author' field is correct and directly supported by the source material as the model is created by Google-BERT, indicated in the model's ID and description.",1.000
M1: Structured Extraction,3,google-bert/bert-base-uncased,citation,https://arxiv.org/abs/1810.04805,2,The augmented value correctly provides the arXiv URL for the BERT paper as mentioned in the source material.,0.900
M1: Structured Extraction,3,google-bert/bert-base-uncased,input_data,"https://huggingface.co/datasets/bookcorpus, https://huggingface.co/datasets/wiki",2,"The augmented value correctly lists the training datasets as https://huggingface.co/datasets/bookcorpus and https://huggingface.co/datasets/wikipedia, which are directly supported by the source material in both the API metadata and the README excerpt.",0.900
M1: Structured Extraction,3,google-bert/bert-base-uncased,input_type,Text,2,"The input_type is correctly identified as Text, as the model is described as being pretrained on English language data using a masked language modeling objective.",0.950
M1: Structured Extraction,3,google-bert/bert-base-uncased,output_data,predicted token,2,"The augmented value 'predicted token' is correct and directly supported by the source material, as the model is described as being trained for masked language modeling where it predicts masked words.",0.950
M1: Structured Extraction,3,google-bert/bert-base-uncased,category,natural language processing,2,"The field 'category' with the augmented value 'natural language processing' is correct and directly supported by the source material, as BERT is a model for natural language processing tasks.",0.950
M1: Structured Extraction,3,google-bert/bert-base-uncased,documentation,https://huggingface.co/google-bert/bert-base-uncased,0,"The augmented value is not a URL for documentation, but rather the model's main HuggingFace page.",1.000
M1: Structured Extraction,3,google-bert/bert-base-uncased,is_private,False,2,The 'private' field in the API metadata directly supports the augmented value of False.,1.000
M1: Structured Extraction,3,google-bert/bert-base-uncased,is_gated,False,2,"The source material indicates the model is not gated as it is publicly accessible and has a high number of downloads, with no mention of access restrictions.",1.000
M1: Structured Extraction,3,google-bert/bert-base-uncased,ai_model_framework,pytorch,2,The 'pytorch' tag in the HuggingFace API metadata directly supports the augmented value.,0.950
M1: Structured Extraction,3,google-bert/bert-base-uncased,ai_model_license,apache-2.0,2,The license identifier 'apache-2.0' is correct and directly supported by the source material in both the HuggingFace API metadata and the README excerpt.,0.900
M1: Structured Extraction,3,google-bert/bert-base-uncased,ai_model_model_type,dnn,0,"The augmented value 'dnn' is incorrect and contradicted by the source material, which describes BERT as a transformer model, not a DNN.",0.950
M1: Structured Extraction,3,google-bert/bert-base-uncased,ai_model_version,1.0,0,"The source material does not mention a model version, making the augmented value misleading.",1.000
M1: Structured Extraction,3,google-bert/bert-base-uncased,ai_model_description,BERT is a transformers model pretrained on a large corpus of English data in a s,2,The augmented value is correct and directly supported by the source material in the README excerpt.,0.900
M1: Structured Extraction,3,google-bert/bert-base-uncased,ai_model_owner,google-bert,2,The model's owner is directly indicated in the model ID 'google-bert/bert-base-uncased' in the API metadata.,1.000
M1: Structured Extraction,3,google-bert/bert-base-uncased,ai_model_location,https://huggingface.co/google-bert/bert-base-uncased,2,"The augmented value correctly provides the HuggingFace URL for the model, which is directly supported by the source material.",1.000
M1: Structured Extraction,4,google/electra-base-discriminator,name,electra-base-discriminator,2,The augmented value 'electra-base-discriminator' is correct and directly supported by the source material in the HuggingFace API metadata and README content.,1.000
M1: Structured Extraction,4,google/electra-base-discriminator,version,1.0,0,The version field is not mentioned or supported by the provided source material.,1.000
M1: Structured Extraction,4,google/electra-base-discriminator,short_description,**ELECTRA** is a new method for self-supervised language representation learning,2,The augmented value is correct and directly supported by the source material in the README excerpt.,0.900
M1: Structured Extraction,4,google/electra-base-discriminator,full_description,**ELECTRA** is a new method for self-supervised language representation learning,2,The augmented value is correct and directly supported by the source material in the README excerpt.,0.900
M1: Structured Extraction,4,google/electra-base-discriminator,keywords,"transformers, pytorch, tf, jax, rust, electra, pretraining, en",2,The augmented value correctly lists the keywords directly supported by the source material in the HuggingFace API metadata.,0.900
M1: Structured Extraction,4,google/electra-base-discriminator,author,google,2,The value 'google' is correct and directly supported by the source material as the creator/organization of the ELECTRA model.,1.000
M1: Structured Extraction,4,google/electra-base-discriminator,citation,https://arxiv.org/abs/1406.2661,2,The augmented value correctly provides the arXiv URL for the GAN paper referenced in the source material.,0.900
M1: Structured Extraction,4,google/electra-base-discriminator,documentation,https://huggingface.co/google/electra-base-discriminator,2,"The augmented value correctly points to the HuggingFace model page which serves as the documentation for the model, as directly supported by the source material.",1.000
M1: Structured Extraction,4,google/electra-base-discriminator,is_private,False,2,The value 'False' for the 'is_private' field is correct and directly supported by the source metadata which explicitly states 'private': false.,1.000
M1: Structured Extraction,4,google/electra-base-discriminator,is_gated,False,2,"The source material indicates the model is publicly accessible and not gated, as it has a like count, download count, and is not marked as private.",1.000
M1: Structured Extraction,4,google/electra-base-discriminator,ai_model_framework,pytorch,2,The value 'pytorch' is correct and directly supported by the 'tags' field in the API metadata which includes 'pytorch'.,0.950
M1: Structured Extraction,4,google/electra-base-discriminator,ai_model_license,apache-2.0,2,The license identifier 'apache-2.0' is explicitly stated in the source material.,0.900
M1: Structured Extraction,4,google/electra-base-discriminator,ai_model_model_type,dnn,1,"The model is a transformer-based architecture, which is a type of deep neural network (DNN), but this is not explicitly stated in the source material.",0.950
M1: Structured Extraction,4,google/electra-base-discriminator,ai_model_version,1.0,0,"The source material does not mention a model version string, making the augmented value misleading.",1.000
M1: Structured Extraction,4,google/electra-base-discriminator,ai_model_description,**ELECTRA** is a new method for self-supervised language representation learning,2,The augmented value is correct and directly supported by the source material in the README excerpt.,0.900
M1: Structured Extraction,4,google/electra-base-discriminator,ai_model_owner,google,2,The model ID 'google/electra-base-discriminator' directly indicates that the owner is 'google'.,1.000
M1: Structured Extraction,4,google/electra-base-discriminator,ai_model_location,https://huggingface.co/google/electra-base-discriminator,2,The augmented value is correct and directly supported by the source material as the HuggingFace model ID and the provided URL format align with the standard HuggingFace model repository URL structure.,1.000
M1: Structured Extraction,5,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,name,paraphrase-multilingual-MiniLM-L12-v2,2,The augmented value 'paraphrase-multilingual-MiniLM-L12-v2' is correct and directly supported by the source material as it matches the model's ID and is used as the display name in the README.,1.000
M1: Structured Extraction,5,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,version,1.0,0,The version field is not mentioned or supported in the provided metadata or README content.,1.000
M1: Structured Extraction,5,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,short_description,This is a [sentence-transformers](https://www.SBERT.net) model: It maps sentence,2,The augmented value is correct and directly supported by the source material in the README excerpt.,0.900
M1: Structured Extraction,5,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,full_description,This is a [sentence-transformers](https://www.SBERT.net) model: It maps sentence,2,The augmented value is correct and directly supported by the source material in the README excerpt.,0.900
M1: Structured Extraction,5,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,keywords,"sentence-transformers, pytorch, tf, onnx, openvino, bert, feature-extraction, se",2,"The augmented value correctly lists keywords directly supported by the source metadata and README content, including model tags and relevant features.",0.900
M1: Structured Extraction,5,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,author,sentence-transformers,2,"The field value 'sentence-transformers' correctly identifies the creator/organization, which is directly supported by the source material in both the API metadata and the README excerpt.",1.000
M1: Structured Extraction,5,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,citation,https://arxiv.org/abs/1908.10084,2,The arXiv URL provided in the augmented value is directly supported by the source material in the tags field of the HuggingFace API metadata.,0.900
M1: Structured Extraction,5,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,documentation,https://huggingface.co/sentence-transformers/paraphrase-multilingual-MiniLM-L12-,0,"The augmented value is a URL for the model page, not a dedicated documentation URL as implied by the field name.",1.000
M1: Structured Extraction,5,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,is_private,False,2,The model is explicitly marked as not private in the API metadata.,1.000
M1: Structured Extraction,5,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,is_gated,False,2,The model is not gated as it is publicly accessible and no approval is required for access.,1.000
M1: Structured Extraction,5,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,ai_model_framework,pytorch,2,The 'pytorch' tag in the HuggingFace API metadata directly supports the augmented value.,0.950
M1: Structured Extraction,5,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,ai_model_license,apache-2.0,2,The license identifier 'apache-2.0' is explicitly mentioned in the HuggingFace API metadata under the tags field.,0.900
M1: Structured Extraction,5,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,ai_model_version,1.0,0,"The source material does not mention a model version string, making the augmented value misleading.",1.000
M1: Structured Extraction,5,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,ai_model_description,This is a [sentence-transformers](https://www.SBERT.net) model: It maps sentence,2,The augmented value is correct and directly supported by the source material in the README excerpt.,0.900
M1: Structured Extraction,5,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,ai_model_owner,sentence-transformers,2,The model's owner is directly indicated by the 'sentence-transformers' library and model identifier in the source material.,1.000
M1: Structured Extraction,5,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,ai_model_location,https://huggingface.co/sentence-transformers/paraphrase-multilingual-MiniLM-L12-,2,"The augmented value correctly provides the HuggingFace URL for the model, which is directly supported by the source material.",1.000
M1: Structured Extraction,6,VladShash/mistral-7B-lean-prover-dpo-deepseek,name,mistral-7B-lean-prover-dpo-deepseek,2,The augmented value 'mistral-7B-lean-prover-dpo-deepseek' is correct and directly supported by the model's metadata and README content.,1.000
M1: Structured Extraction,6,VladShash/mistral-7B-lean-prover-dpo-deepseek,version,1.0,0,The source material does not mention a version field or provide any information that would support the augmented value of '1.0'.,1.000
M1: Structured Extraction,6,VladShash/mistral-7B-lean-prover-dpo-deepseek,short_description,This model is a fine-tuned version of [formalmathatepfl/mistral-7B-v0.3-finetune,2,The augmented value is correct and directly supported by the README content.,0.900
M1: Structured Extraction,6,VladShash/mistral-7B-lean-prover-dpo-deepseek,full_description,This model is a fine-tuned version of [formalmathatepfl/mistral-7B-v0.3-finetune,0,The augmented value includes code and training details that are not a concise 2-4 sentence description and are not formatted correctly for the full_description field.,0.900
M1: Structured Extraction,6,VladShash/mistral-7B-lean-prover-dpo-deepseek,keywords,"transformers, mistral, text-generation, generated_from_trainer, dpo, trl",2,The augmented value correctly lists keywords directly supported by the source material in the HuggingFace API metadata and README excerpt.,0.900
M1: Structured Extraction,6,VladShash/mistral-7B-lean-prover-dpo-deepseek,author,VladShash,2,The author field is correctly identified as VladShash from the model ID in the metadata.,1.000
M1: Structured Extraction,6,VladShash/mistral-7B-lean-prover-dpo-deepseek,citation,https://arxiv.org/abs/2305.18290,2,"The augmented value is correct and directly supported by the source material, which includes the arXiv URL 2305.18290 in the metadata and README content.",0.900
M1: Structured Extraction,6,VladShash/mistral-7B-lean-prover-dpo-deepseek,input_type,Text,2,The input_type is correctly identified as 'Text' based on the model's pipeline_tag and the text-generation use case described in the README.,0.950
M1: Structured Extraction,6,VladShash/mistral-7B-lean-prover-dpo-deepseek,output_data,generated text,2,The augmented value 'generated text' is correct and directly supported by the source material in the provided README excerpt and API metadata.,0.950
M1: Structured Extraction,6,VladShash/mistral-7B-lean-prover-dpo-deepseek,foundational_model,mistral-7B-v0.3-finetuned,2,The augmented value 'mistral-7B-v0.3-finetuned' is correct and directly supported by the source material in both the API metadata and the README excerpt.,0.900
M1: Structured Extraction,6,VladShash/mistral-7B-lean-prover-dpo-deepseek,category,natural language processing,2,"The model is clearly related to text generation and NLP tasks, as indicated by the 'text-generation' pipeline tag and the context provided in the README.",0.950
M1: Structured Extraction,6,VladShash/mistral-7B-lean-prover-dpo-deepseek,documentation,https://huggingface.co/VladShash/mistral-7B-lean-prover-dpo-deepseek,2,"The augmented value correctly provides the HuggingFace model URL, which is directly supported by the source material.",1.000
M1: Structured Extraction,6,VladShash/mistral-7B-lean-prover-dpo-deepseek,is_private,False,2,"The model is not private, as indicated by the 'private': false field in the API metadata.",1.000
M1: Structured Extraction,6,VladShash/mistral-7B-lean-prover-dpo-deepseek,is_gated,False,2,The model is not gated as it is not marked as private and no access approval is mentioned in the metadata or README.,1.000
M1: Structured Extraction,6,VladShash/mistral-7B-lean-prover-dpo-deepseek,ai_model_framework,pytorch,2,"The augmented value 'pytorch' is correct and directly supported by the source material, as PyTorch version 2.10.0+default is listed in the 'Framework versions' section of the README.",0.950
M1: Structured Extraction,6,VladShash/mistral-7B-lean-prover-dpo-deepseek,ai_model_model_type,llm,2,"The model is a fine-tuned version of a Mistral-based model for text generation, which is a type of large language model (LLM), and this is directly supported by the source material.",0.950
M1: Structured Extraction,6,VladShash/mistral-7B-lean-prover-dpo-deepseek,ai_model_version,1.0,0,"The source material does not mention a model version string, making the augmented value unsupported.",1.000
M1: Structured Extraction,6,VladShash/mistral-7B-lean-prover-dpo-deepseek,ai_model_description,This model is a fine-tuned version of [formalmathatepfl/mistral-7B-v0.3-finetune,2,The augmented value is correct and directly supported by the source material in the README excerpt.,0.900
M1: Structured Extraction,6,VladShash/mistral-7B-lean-prover-dpo-deepseek,ai_model_owner,VladShash,2,The model owner is directly specified in the HuggingFace API metadata as 'VladShash'.,1.000
M1: Structured Extraction,6,VladShash/mistral-7B-lean-prover-dpo-deepseek,ai_model_location,https://huggingface.co/VladShash/mistral-7B-lean-prover-dpo-deepseek,2,"The augmented value is correct and directly supported by the source material, as the HuggingFace model ID provides the exact URL for the model.",1.000
M1: Structured Extraction,7,donaldsebleung/fashion-mnist-mlp,name,fashion-mnist-mlp,2,The augmented value 'fashion-mnist-mlp' matches the model's name as indicated in the HuggingFace metadata and README content.,1.000
M1: Structured Extraction,7,donaldsebleung/fashion-mnist-mlp,version,1.0,1,The version field is acceptable but imprecise as there is no explicit version information provided in the source material.,1.000
M1: Structured Extraction,7,donaldsebleung/fashion-mnist-mlp,short_description,MLP model trained on the Fashion MNIST dataset with PyTorch 2.8.0 + CANN 8.5.0 w,2,The augmented value is correct and directly supported by the source material in the README.,0.900
M1: Structured Extraction,7,donaldsebleung/fashion-mnist-mlp,full_description,MLP model trained on the Fashion MNIST dataset with PyTorch 2.8.0 + CANN 8.5.0 w,2,The augmented value is correct and directly supported by the source material in the README.,0.900
M1: Structured Extraction,7,donaldsebleung/fashion-mnist-mlp,keywords,"onnx, image-classification, en",2,"The augmented value 'onnx, image-classification, en' is correct and directly supported by the source material in the HuggingFace API metadata and README excerpt.",0.900
M1: Structured Extraction,7,donaldsebleung/fashion-mnist-mlp,author,donaldsebleung,2,The author field is correctly derived from the model ID 'donaldsebleung/fashion-mnist-mlp' in the metadata.,1.000
M1: Structured Extraction,7,donaldsebleung/fashion-mnist-mlp,input_data,https://huggingface.co/datasets/zalando-datasets/fashion_mnist,2,"The augmented value correctly and directly points to the dataset used, which is explicitly mentioned in both the metadata and the README.",0.900
M1: Structured Extraction,7,donaldsebleung/fashion-mnist-mlp,input_type,Image,2,"The model is described as being trained on the Fashion MNIST dataset for image classification, directly supporting the 'Image' input type.",0.950
M1: Structured Extraction,7,donaldsebleung/fashion-mnist-mlp,output_data,class label,2,"The augmented value 'class label' is correct and directly supported by the source material, as the model is described as performing image-classification on the Fashion MNIST dataset.",0.950
M1: Structured Extraction,7,donaldsebleung/fashion-mnist-mlp,category,classification,2,"The model is described as an MLP trained for image classification on the Fashion MNIST dataset, directly supporting the 'classification' category.",0.950
M1: Structured Extraction,7,donaldsebleung/fashion-mnist-mlp,documentation,https://huggingface.co/donaldsebleung/fashion-mnist-mlp,2,"The augmented value correctly provides the URL for the model's documentation on HuggingFace, which is directly supported by the source material.",1.000
M1: Structured Extraction,7,donaldsebleung/fashion-mnist-mlp,is_private,False,2,The model is marked as not private in the API metadata.,1.000
M1: Structured Extraction,7,donaldsebleung/fashion-mnist-mlp,is_gated,False,2,The model is not gated as it is public and no access approval is required.,1.000
M1: Structured Extraction,7,donaldsebleung/fashion-mnist-mlp,ai_model_license,apache-2.0,2,The license identifier 'apache-2.0' is directly supported by the source material in both the HuggingFace API metadata and the README excerpt.,0.900
M1: Structured Extraction,7,donaldsebleung/fashion-mnist-mlp,ai_model_version,1.0,1,"The model version is not explicitly mentioned in the source material, so the value is acceptable but imprecise.",1.000
M1: Structured Extraction,7,donaldsebleung/fashion-mnist-mlp,ai_model_description,MLP model trained on the Fashion MNIST dataset with PyTorch 2.8.0 + CANN 8.5.0 w,2,The augmented value is correct and directly supported by the source material in the README.,0.900
M1: Structured Extraction,7,donaldsebleung/fashion-mnist-mlp,ai_model_owner,donaldsebleung,2,The model owner 'donaldsebleung' is directly supported by the model ID 'donaldsebleung/fashion-mnist-mlp' in the metadata.,1.000
M1: Structured Extraction,7,donaldsebleung/fashion-mnist-mlp,ai_model_location,https://huggingface.co/donaldsebleung/fashion-mnist-mlp,2,The augmented value correctly provides the Hugging Face model URL directly supported by the source material.,1.000
M1: Structured Extraction,8,Haerim/en_child_mlm_42_english8192,name,en_child_mlm_42_english8192,2,The augmented value 'en_child_mlm_42_english8192' matches the model name directly from the source material.,1.000
M1: Structured Extraction,8,Haerim/en_child_mlm_42_english8192,version,1.0,1,The augmented value is acceptable but imprecise as the version field is not directly mentioned in the source material.,1.000
M1: Structured Extraction,8,Haerim/en_child_mlm_42_english8192,short_description,More information needed,0,The augmented value 'More information needed' is generic and does not provide a specific one-sentence summary of the model as required by the field description.,0.900
M1: Structured Extraction,8,Haerim/en_child_mlm_42_english8192,full_description,More information needed,0,The augmented value 'More information needed' is not a valid description of what the model does and is not supported by the source material.,0.900
M1: Structured Extraction,8,Haerim/en_child_mlm_42_english8192,keywords,"transformers, roberta, fill-mask, generated_from_trainer",2,The augmented value is correct and directly supported by the source material in the tags and pipeline_tag fields.,0.900
M1: Structured Extraction,8,Haerim/en_child_mlm_42_english8192,author,Haerim,2,The augmented value 'Haerim' is correct and directly supported by the source material as the model ID and author.,1.000
M1: Structured Extraction,8,Haerim/en_child_mlm_42_english8192,input_type,Text,2,"The augmented value 'Text' for the input_type field is correct and directly supported by the source material, as the model is a language model (MLM) for English, indicating text input.",0.950
M1: Structured Extraction,8,Haerim/en_child_mlm_42_english8192,output_data,predicted token,2,The augmented value 'predicted token' is correct and directly supported by the source material indicating the model's purpose for fill-mask tasks.,0.950
M1: Structured Extraction,8,Haerim/en_child_mlm_42_english8192,category,natural language processing,2,"The augmented value 'natural language processing' is correct and directly supported by the source material, as the model is related to NLP tasks like fill-mask.",0.950
M1: Structured Extraction,8,Haerim/en_child_mlm_42_english8192,documentation,https://huggingface.co/Haerim/en_child_mlm_42_english8192,2,"The augmented value correctly provides the direct URL to the model's documentation on HuggingFace, which is directly supported by the source material.",1.000
M1: Structured Extraction,8,Haerim/en_child_mlm_42_english8192,is_private,False,2,The augmented value 'False' is correct and directly supported by the source material indicating the model is not private.,1.000
